#{"t_start": 1783772504.6741848, "env_id": "CartPole-v1"}
r,l,t
16.0,16,4.909243
31.0,31,4.96817
13.0,13,4.991832
20.0,20,5.030641
36.0,36,5.090647
43.0,43,5.161667
10.0,10,5.178835
13.0,13,5.199317
41.0,41,5.280406
75.0,75,5.469095
20.0,20,5.546089
27.0,27,5.662346
37.0,37,5.782253
29.0,29,5.86889
12.0,12,5.890408
12.0,12,5.917995
14.0,14,5.957095
15.0,15,5.990379
26.0,26,6.047986
23.0,23,6.099766
21.0,21,6.145673
21.0,21,6.193947
13.0,13,6.222293
17.0,17,6.253923
15.0,15,6.282197
27.0,27,6.338973
16.0,16,6.374375
12.0,12,6.399406
17.0,17,6.437791
62.0,62,6.566509
11.0,11,6.58906
41.0,41,6.689805
19.0,19,6.727953
18.0,18,6.760916
26.0,26,6.814801
15.0,15,6.849233
18.0,18,6.881162
21.0,21,6.918261
37.0,37,6.979613
49.0,49,7.075981
20.0,20,7.109784
28.0,28,7.160546
17.0,17,7.190821
30.0,30,7.24624
21.0,21,7.28468
16.0,16,7.314011
40.0,40,7.381501
15.0,15,7.41109
18.0,18,7.44443
44.0,44,7.515062
17.0,17,7.558126
26.0,26,7.601865
70.0,70,7.721485
22.0,22,7.759153
16.0,16,7.780288
15.0,15,7.798006
16.0,16,7.825785
39.0,39,7.891653
16.0,16,7.919278
22.0,22,7.956576
20.0,20,7.990497
19.0,19,8.023062
24.0,24,8.063166
22.0,22,8.100681
34.0,34,8.159822
10.0,10,8.177713
50.0,50,8.261373
14.0,14,8.285722
23.0,23,8.324808
12.0,12,8.344499
28.0,28,8.393704
34.0,34,8.453542
15.0,15,8.479542
11.0,11,8.495451
9.0,9,8.512644
42.0,42,8.58231
25.0,25,8.623991
21.0,21,8.668076
13.0,13,8.690304
14.0,14,8.712396
41.0,41,8.782986
15.0,15,8.808998
10.0,10,8.826217
21.0,21,8.862363
11.0,11,8.882621
9.0,9,8.898168
28.0,28,12.394476
40.0,40,12.466278
14.0,14,12.490629
40.0,40,12.560174
39.0,39,12.625419
25.0,25,12.669554
22.0,22,12.71484
